EmployeeID,Gender,Age,Education,EducationType,MaritalStatus,TotalCompanies,TotalExperience,DistanceToOffice,Department,Traveltype_last_year,BillingRate,MonthlyIncome,Years_at_Company,Years_InCurrentRole,LastSalaryHike,PotentialReview,PerformanceReview,SatisfactionScore,JobRole_SatisfactionScore,Overall_SatisfactionScore
AB0346,Male,31,Graduation,Economics,Divorced,3,17,11,ClientSolutions,LongTermProject,57,6914,5,4,17,Medium,Met Expectations,Detractor,Detractor,Passive
AB0347,Male,46,Masters / PHD,Marketing / Finance,Single,3,35,1,ClientSolutions,No,189,18504,7,5,22,Very High,Exceed Expectations,Detractor,Promoter,Passive
AB0348,Male,39,Graduation,Marketing / Finance,Married,3,30,4,ClientSolutions,Conference,130,20501,1,0,16,Low,Met Expectations,Detractor,Passive,Passive
AB0349,Female,24,Graduation,Economics,Married,1,12,6,ClientSolutions,Conference,18,12523,10,9,15,Very High,Met Expectations,Passive,Detractor,Passive
AB0350,Female,26,Graduation,Economics,Married,4,16,4,ClientSolutions,Conference,98,6466,9,1,15,Medium,Met Expectations,Promoter,Passive,Detractor
AB0351,Female,25,Graduation,Marketing / Finance,Single,1,13,26,ClientSolutions,Conference,129,7487,13,12,20,Medium,Met Expectations,Passive,Detractor,Passive
AB0352,Male,38,Graduation,Bio-technology,Married,7,9,2,ClientSolutions,Conference,115,2836,1,0,14,Very High,Met Expectations,Promoter,Passive,Passive
AB0353,Male,46,Masters / PHD,Marketing / Finance,Married,5,17,21,ClientSolutions,Conference,220,2508,0,0,18,High,Met Expectations,Promoter,Passive,Detractor
AB0354,Female,37,Masters / PHD,Economics,Married,5,22,3,BusinessDevelopment,Conference,199,6492,20,14,16,Medium,Met Expectations,Promoter,Passive,Passive
AB0355,Male,41,Masters / PHD,Economics,Divorced,1,12,11,ClientSolutions,LongTermProject,84,5787,12,9,14,Medium,Met Expectations,Passive,Passive,Passive
AB0356,Female,30,Graduation,Phycology / Behavior Sciences,Married,1,13,1,ClientSolutions,Conference,82,5755,12,9,17,High,Met Expectations,Passive,Passive,Detractor
AB0357,Male,55,Masters / PHD,Marketing / Finance,Single,1,49,9,BusinessDevelopment,Conference,102,15209,48,13,16,High,Met Expectations,Promoter,Passive,Passive
AB0358,Male,48,Masters / PHD,Economics,Married,1,36,30,ClientSolutions,Conference,165,18680,35,13,17,Medium,Met Expectations,Passive,Passive,Passive
AB0359,Male,38,Masters / PHD,Bio-technology,Married,5,18,21,ClientSolutions,Conference,224,11326,14,13,20,High,Exceed Expectations,Detractor,Promoter,Promoter
AB0360,Male,16,Under Graduation,Marketing / Finance,Single,1,7,7,ClientSolutions,Conference,144,4400,7,5,14,Medium,Met Expectations,Promoter,Passive,Passive
AB0361,Female,24,Graduation,Marketing / Finance,Single,9,13,10,ClientSolutions,No,104,5172,10,5,19,High,Met Expectations,Passive,Passive,Passive
AB0362,Male,28,Graduation,Marketing / Finance,Divorced,8,9,14,BusinessDevelopment,Conference,91,5987,3,3,16,Low,Inconsistent,Detractor,Promoter,Promoter
AB0363,Female,31,Graduation,Bio-technology,Single,1,8,11,BusinessDevelopment,No,18,6234,7,4,16,High,Met Expectations,Passive,Promoter,Passive
AB0364,Male,32,Masters / PHD,Economics,Married,8,17,2,ClientSolutions,Conference,71,6552,14,12,16,Very High,Met Expectations,Promoter,Detractor,Passive
AB0365,Female,38,Graduation,Bio-technology,Married,3,20,7,BusinessDevelopment,Conference,136,9958,4,3,20,Medium,Met Expectations,Passive,Promoter,Passive
AB0366,Female,35,Masters / PHD,Economics,Divorced,3,10,11,BusinessDevelopment,Conference,46,7358,1,0,16,Medium,Met Expectations,Promoter,Promoter,Passive
AB0367,Male,24,Graduation,Economics,Divorced,1,13,18,BusinessDevelopment,Conference,151,9465,13,9,16,Medium,Met Expectations,Passive,Passive,Passive
AB0368,Female,36,Masters / PHD,Economics,Single,5,16,1,BusinessDevelopment,Conference,105,9537,10,4,22,High,Exceed Expectations,Detractor,Promoter,Passive
AB0369,Male,39,Under Graduation,Marketing / Finance,Single,9,40,2,ClientSolutions,No,48,18363,12,9,17,Medium,Met Expectations,Passive,Detractor,Passive
AB0370,Male,47,Masters / PHD,Marketing / Finance,Married,9,13,2,Support,No,26,6897,5,4,18,Very High,Met Expectations,Promoter,Detractor,Detractor
AB0371,Female,35,Graduation,Marketing / Finance,Married,9,27,4,ClientSolutions,Conference,100,21246,21,16,16,Medium,Exceed Expectations,Detractor,Passive,Promoter
AB0372,Male,34,Masters / PHD,Economics,Married,4,12,6,ClientSolutions,LongTermProject,195,6120,4,3,16,Very High,Met Expectations,Detractor,Detractor,Promoter
AB0373,Female,26,Graduation,Marketing / Finance,Married,7,12,6,ClientSolutions,Conference,76,5697,7,4,15,Very High,Met Expectations,Passive,Passive,Passive
AB0374,Male,23,Under Graduation,Marketing / Finance,Married,9,20,15,ClientSolutions,Conference,139,14922,9,8,15,High,Met Expectations,Passive,Passive,Promoter
AB0375,Female,39,Graduation,Marketing / Finance,Married,4,14,10,BusinessDevelopment,Conference,69,5058,7,5,18,High,Inconsistent,Passive,Passive,Passive
AB0376,Female,37,Graduation,Bio-technology,Divorced,1,31,1,BusinessDevelopment,Conference,62,11469,31,17,24,High,Exceed Expectations,Passive,Detractor,Passive
AB0377,Male,21,Graduation,Bio-technology,Single,8,8,7,BusinessDevelopment,Conference,139,5862,5,4,18,Medium,Met Expectations,Promoter,Detractor,Passive
AB0378,Female,25,Graduation,Bio-technology,Married,1,13,4,ClientSolutions,Conference,138,5098,12,3,15,Medium,Met Expectations,Detractor,Promoter,Detractor
AB0379,Male,33,Masters / PHD,Economics,Single,1,12,4,ClientSolutions,LongTermProject,72,4684,12,8,14,High,Met Expectations,Passive,Passive,Passive
AB0380,Male,40,Masters / PHD,Bio-technology,Married,1,13,8,BusinessDevelopment,Conference,104,7502,12,9,14,High,Met Expectations,Passive,Passive,Promoter
AB0381,Female,21,Graduation,Phycology / Behavior Sciences,Married,5,8,1,Support,Conference,37,2429,3,0,16,High,Met Expectations,Passive,Passive,Passive
AB0382,Female,46,Graduation,Economics,Divorced,5,25,9,ClientSolutions,Conference,86,4693,3,3,19,High,Met Expectations,Passive,Detractor,Passive
AB0383,Female,24,Graduation,Marketing / Finance,Married,1,14,20,ClientSolutions,Conference,151,6353,13,10,16,High,Met Expectations,Promoter,Promoter,Promoter
AB0384,Female,30,Masters / PHD,Marketing / Finance,Single,9,13,2,ClientSolutions,Conference,153,5566,9,9,18,Very High,Met Expectations,Detractor,Promoter,Passive
AB0385,Male,39,Graduation,Marketing / Finance,Single,3,33,23,ClientSolutions,Conference,143,9479,22,18,22,High,Exceed Expectations,Detractor,Passive,Passive
AB0386,Female,24,Graduation,Marketing / Finance,Married,5,14,20,ClientSolutions,Conference,80,4778,10,9,15,High,Met Expectations,Passive,Passive,Detractor
AB0387,Male,40,Graduation,Bio-technology,Married,4,23,8,BusinessDevelopment,ClientEngagement,67,7470,5,4,16,High,Met Expectations,Passive,Passive,Detractor
AB0388,Female,32,Graduation,Marketing / Finance,Married,1,10,1,ClientSolutions,LongTermProject,94,4679,10,9,23,Very High,Exceed Expectations,Passive,Passive,Promoter
AB0389,Male,38,Graduation,Marketing / Finance,Married,3,27,1,ClientSolutions,LongTermProject,77,11710,13,12,16,Medium,Met Expectations,Passive,Detractor,Passive
AB0390,Male,26,Graduation,Economics,Married,1,13,5,BusinessDevelopment,ClientEngagement,45,7172,13,10,16,High,Met Expectations,Passive,Passive,Promoter
AB0391,Male,43,Graduation,Bio-technology,Married,7,36,8,BusinessDevelopment,Conference,105,12982,3,0,16,Medium,Met Expectations,Detractor,Promoter,Passive
AB0392,Female,27,Graduation,Economics,Single,7,8,3,BusinessDevelopment,Conference,61,6631,3,3,15,Low,Met Expectations,Promoter,Promoter,Detractor
AB0393,Male,26,Masters / PHD,Bio-technology,Married,1,8,2,ClientSolutions,Conference,203,2472,7,4,14,High,Inconsistent,Passive,Passive,Passive
AB0394,Male,35,Graduation,Economics,Married,1,10,9,ClientSolutions,Conference,78,2836,10,9,16,High,Met Expectations,Passive,Detractor,Promoter
AB0395,Female,27,Graduation,Economics,Single,1,9,18,BusinessDevelopment,No,64,5908,8,7,24,High,Exceed Expectations,Passive,Promoter,Passive
AB0396,Male,31,Masters / PHD,Economics,Married,8,18,8,ClientSolutions,Conference,130,3474,13,10,20,Very High,Met Expectations,Promoter,Detractor,Passive
AB0397,Female,26,Masters / PHD,Marketing / Finance,Divorced,1,8,7,ClientSolutions,Conference,120,2429,7,4,15,Medium,Met Expectations,Detractor,Passive,Passive
AB0398,Male,51,Masters / PHD,Economics,Single,9,25,9,ClientSolutions,Conference,82,4171,1,0,14,High,Met Expectations,Passive,Passive,Passive
AB0399,Male,28,Graduation,Phycology / Behavior Sciences,Single,4,20,3,BusinessDevelopment,Conference,161,5242,17,12,19,Low,Met Expectations,Promoter,Detractor,Detractor
AB0400,Male,26,Graduation,Economics,Divorced,1,9,5,ClientSolutions,Conference,40,3644,8,3,15,Very High,Met Expectations,Detractor,Passive,Promoter
AB0401,Male,15,Under Graduation,Bio-technology,Single,7,5,4,ClientSolutions,LongTermProject,149,4296,3,3,18,High,Met Expectations,Passive,Passive,Passive
AB0402,Female,24,Graduation,Economics,Divorced,4,12,1,ClientSolutions,Conference,84,17672,9,9,16,Medium,Met Expectations,Promoter,Promoter,Passive
AB0403,Male,52,Masters / PHD,Bio-technology,Single,8,31,12,BusinessDevelopment,Conference,40,15015,25,9,18,Very High,Met Expectations,Detractor,Passive,Passive
AB0404,Male,49,Masters / PHD,Marketing / Finance,Divorced,4,13,9,ClientSolutions,LongTermProject,144,6248,10,9,16,High,Met Expectations,Promoter,Passive,Passive
AB0405,Female,34,Graduation,Bio-technology,Married,7,18,6,BusinessDevelopment,Conference,41,4842,7,5,21,High,Exceed Expectations,Passive,Passive,Passive
AB0406,Female,32,Masters / PHD,Economics,Single,3,13,1,ClientSolutions,Conference,27,3624,5,3,18,Very High,Met Expectations,Passive,Promoter,Passive
AB0407,Female,17,Under Graduation,Bio-technology,Single,1,8,2,ClientSolutions,LongTermProject,62,4149,8,4,16,High,Met Expectations,Detractor,Promoter,Passive
AB0408,Male,46,Masters / PHD,Economics,Single,9,35,4,ClientSolutions,Conference,203,12067,20,14,16,Medium,Met Expectations,Passive,Passive,Passive
AB0409,Male,32,Graduation,Marketing / Finance,Married,3,8,1,BusinessDevelopment,Conference,133,8193,5,4,22,Low,Exceed Expectations,Passive,Promoter,Passive
AB0410,Female,26,Graduation,Economics,Single,5,13,2,ClientSolutions,LongTermProject,156,5503,10,9,16,High,Met Expectations,Promoter,Passive,Promoter
AB0411,Male,23,Graduation,Marketing / Finance,Married,1,7,22,ClientSolutions,Conference,53,3004,7,3,14,High,Met Expectations,Passive,Promoter,Passive
AB0412,Male,32,Graduation,Bio-technology,Married,4,25,5,BusinessDevelopment,Conference,109,2318,1,0,16,High,Met Expectations,Promoter,Promoter,Passive
AB0413,Male,42,Graduation,Bio-technology,Married,3,18,2,BusinessDevelopment,ClientEngagement,66,11626,5,3,14,High,Met Expectations,Passive,Passive,Passive
AB0414,Male,50,Masters / PHD,Marketing / Finance,Married,4,27,3,ClientSolutions,Conference,161,19269,7,4,18,High,Met Expectations,Passive,Passive,Promoter
AB0415,Male,48,Graduation,Economics,Married,4,9,3,ClientSolutions,Conference,17,2418,1,0,18,Medium,Met Expectations,Passive,Promoter,Detractor
AB0416,Male,23,Masters / PHD,Bio-technology,Divorced,1,7,11,BusinessDevelopment,Conference,206,4696,7,3,15,High,Met Expectations,Promoter,Passive,Promoter
AB0417,Female,29,Masters / PHD,Bio-technology,Divorced,9,10,8,BusinessDevelopment,Conference,128,5264,4,3,16,High,Met Expectations,Promoter,Detractor,Passive
AB0418,Female,38,Masters / PHD,Economics,Married,4,13,7,ClientSolutions,Conference,176,2457,9,9,16,Very High,Met Expectations,Promoter,Passive,Passive
AB0419,Female,23,Graduation,Marketing / Finance,Married,1,4,1,ClientSolutions,Conference,148,3964,4,3,24,High,Exceed Expectations,Passive,Detractor,Passive
AB0420,Female,30,Graduation,Marketing / Finance,Married,8,22,7,ClientSolutions,Conference,112,3812,7,5,20,High,Exceed Expectations,Passive,Detractor,Passive
AB0421,Male,35,Graduation,Economics,Married,4,33,3,ClientSolutions,Conference,112,21627,10,9,16,Low,Met Expectations,Passive,Promoter,Passive
AB0422,Female,22,Graduation,Marketing / Finance,Married,9,7,6,ClientSolutions,Conference,59,3884,4,3,18,Very High,Met Expectations,Passive,Passive,Detractor
AB0423,Male,54,Masters / PHD,Marketing / Finance,Married,3,20,1,ClientSolutions,Conference,89,7425,4,3,14,High,Met Expectations,Promoter,Passive,Passive
AB0424,Female,34,Under Graduation,Marketing / Finance,Married,4,20,21,BusinessDevelopment,Conference,58,13713,0,0,21,High,Exceed Expectations,Detractor,Passive,Passive
AB0425,Male,30,Graduation,Economics,Married,7,22,2,ClientSolutions,No,124,5684,1,0,16,Medium,Met Expectations,Passive,Promoter,Promoter
AB0426,Male,21,Graduation,Marketing / Finance,Single,1,9,7,ClientSolutions,No,95,2848,9,9,20,High,Exceed Expectations,Promoter,Promoter,Passive
AB0427,Male,18,Graduation,Phycology / Behavior Sciences,Single,1,7,11,ClientSolutions,Conference,68,2932,7,3,16,High,Met Expectations,Promoter,Promoter,Passive
AB0428,Male,36,Graduation,Marketing / Finance,Single,8,8,1,ClientSolutions,Conference,126,2701,5,4,15,High,Met Expectations,Passive,Promoter,Passive
AB0429,Male,25,Graduation,Marketing / Finance,Married,1,16,1,ClientSolutions,Conference,178,3951,14,12,21,High,Exceed Expectations,Promoter,Passive,Detractor
AB0430,Female,32,Graduation,Phycology / Behavior Sciences,Married,12,16,2,Support,Conference,17,7025,10,4,17,Very High,Met Expectations,Passive,Passive,Passive
AB0431,Female,27,Under Graduation,Economics,Married,1,26,12,ClientSolutions,Conference,36,9687,25,12,19,Medium,Met Expectations,Passive,Passive,Detractor
AB0432,Female,33,Masters / PHD,Economics,Married,1,8,20,BusinessDevelopment,Conference,210,2695,7,4,22,Medium,Exceed Expectations,Passive,Passive,Detractor
AB0433,Female,45,Masters / PHD,Economics,Married,4,35,19,Support,Conference,176,21537,7,3,14,High,Met Expectations,Promoter,Passive,Passive
AB0434,Male,21,Graduation,Marketing / Finance,Single,1,10,1,ClientSolutions,Conference,19,3173,9,9,16,High,Met Expectations,Passive,Detractor,Promoter
AB0435,Male,45,Graduation,Marketing / Finance,Married,7,31,2,ClientSolutions,Conference,88,21757,7,3,16,High,Met Expectations,Promoter,Detractor,Promoter
AB0436,Male,31,Graduation,Economics,Married,9,25,1,ClientSolutions,LongTermProject,144,5216,17,14,17,High,Met Expectations,Promoter,Promoter,Promoter
AB0437,Female,28,Masters / PHD,Economics,Divorced,1,13,24,ClientSolutions,Conference,208,10952,13,12,14,Very High,Met Expectations,Passive,Detractor,Passive
AB0438,Male,32,Graduation,Marketing / Finance,Single,1,8,21,ClientSolutions,Conference,44,4307,7,3,16,High,Met Expectations,Passive,Detractor,Detractor
AB0439,Female,21,Graduation,Phycology / Behavior Sciences,Single,1,7,5,BusinessDevelopment,Conference,141,3281,5,3,19,Medium,Met Expectations,Promoter,Promoter,Promoter
AB0440,Male,33,Graduation,Economics,Divorced,8,7,5,ClientSolutions,No,108,2341,1,0,18,Medium,Met Expectations,Detractor,Detractor,Detractor
AB0441,Female,32,Graduation,Economics,Married,3,23,6,ClientSolutions,Conference,44,7164,1,0,18,High,Met Expectations,Passive,Detractor,Passive
AB0442,Female,26,Masters / PHD,Bio-technology,Married,12,5,12,ClientSolutions,Conference,170,3111,3,3,16,High,Inconsistent,Passive,Passive,Passive
AB0443,Male,43,Graduation,Marketing / Finance,Married,5,31,5,ClientSolutions,Conference,97,21261,5,3,14,High,Met Expectations,Detractor,Detractor,Passive
AB0444,Male,48,Masters / PHD,Economics,Married,7,21,8,ClientSolutions,Conference,220,13697,13,12,18,Medium,Met Expectations,Passive,Passive,Promoter
AB0445,Male,16,Under Graduation,Economics,Single,1,7,19,ClientSolutions,Conference,55,2522,5,4,16,High,Met Expectations,Detractor,Passive,Passive
AB0446,Female,33,Masters / PHD,Economics,Married,1,20,6,ClientSolutions,No,31,4574,18,14,15,High,Met Expectations,Passive,Passive,Promoter
AB0447,Female,41,Graduation,Economics,Single,4,27,12,ClientSolutions,Conference,176,21830,7,5,17,High,Met Expectations,Passive,Passive,Passive
AB0448,Male,34,Masters / PHD,Economics,Divorced,1,9,6,ClientSolutions,Conference,138,3035,9,9,16,Low,Met Expectations,Passive,Passive,Passive
AB0449,Male,33,Under Graduation,Marketing / Finance,Single,4,7,4,BusinessDevelopment,ClientEngagement,142,3292,0,0,20,High,Met Expectations,Passive,Passive,Detractor
AB0450,Female,26,Graduation,Economics,Single,1,20,1,ClientSolutions,LongTermProject,61,14756,20,18,15,High,Met Expectations,Detractor,Promoter,Passive
AB0451,Male,52,Masters / PHD,Marketing / Finance,Married,4,22,19,ClientSolutions,LongTermProject,20,7020,10,9,16,High,Met Expectations,Passive,Passive,Promoter
AB0452,Female,32,Graduation,Economics,Married,5,9,1,ClientSolutions,Conference,73,3730,5,4,18,High,Met Expectations,Passive,Detractor,Promoter
AB0453,Female,28,Graduation,Phycology / Behavior Sciences,Divorced,12,14,26,Support,MonthlyTravel,120,10919,4,3,17,High,Met Expectations,Passive,Detractor,Passive
AB0454,Male,32,Masters / PHD,Bio-technology,Single,1,13,21,BusinessDevelopment,No,160,5033,12,7,20,High,Exceed Expectations,Passive,Passive,Passive
AB0455,Female,29,Graduation,Economics,Married,1,22,7,ClientSolutions,Conference,74,11723,22,18,20,Medium,Exceed Expectations,Promoter,Passive,Passive
AB0456,Female,51,Masters / PHD,Economics,Married,8,17,1,BusinessDevelopment,Conference,162,11724,12,5,14,Medium,Met Expectations,Passive,Passive,Passive
AB0457,Female,22,Graduation,Economics,Married,1,12,1,ClientSolutions,Conference,72,8144,12,9,14,High,Met Expectations,Passive,Detractor,Promoter
AB0458,Female,40,Masters / PHD,Marketing / Finance,Married,8,23,5,ClientSolutions,Conference,90,2631,1,0,18,Very High,Met Expectations,Passive,Passive,Promoter
AB0459,Female,30,Graduation,Marketing / Finance,Divorced,1,10,8,BusinessDevelopment,Conference,38,6167,10,0,23,Very High,Exceed Expectations,Detractor,Detractor,Passive
AB0460,Male,23,Graduation,Economics,Married,1,13,24,ClientSolutions,Conference,149,2990,13,9,23,Low,Exceed Expectations,Passive,Passive,Passive
AB0461,Male,45,Masters / PHD,Bio-technology,Single,3,26,13,BusinessDevelopment,Conference,105,5462,9,9,15,High,Met Expectations,Promoter,Detractor,Promoter
AB0462,Male,21,Graduation,Marketing / Finance,Married,1,8,1,ClientSolutions,Conference,23,4363,7,4,18,Medium,Met Expectations,Detractor,Detractor,Detractor
AB0463,Male,35,Masters / PHD,Marketing / Finance,Single,1,13,9,ClientSolutions,Conference,56,4645,13,4,17,High,Met Expectations,Promoter,Detractor,Passive
AB0464,Female,34,Masters / PHD,Bio-technology,Single,4,20,3,BusinessDevelopment,Conference,176,10184,7,5,18,High,Met Expectations,Detractor,Passive,Promoter
AB0465,Female,27,Under Graduation,Marketing / Finance,Married,5,12,6,ClientSolutions,Conference,67,10964,9,9,17,Medium,Met Expectations,Promoter,Detractor,Detractor
AB0466,Male,48,Masters / PHD,Economics,Married,12,23,4,ClientSolutions,Conference,198,2729,13,0,15,High,Met Expectations,Detractor,Passive,Passive
AB0467,Female,15,Under Graduation,Phycology / Behavior Sciences,Single,1,1,19,ClientSolutions,Conference,155,2982,1,0,20,High,Met Expectations,Promoter,Promoter,Detractor
AB0468,Male,43,Graduation,Marketing / Finance,Single,5,46,2,ClientSolutions,Conference,54,18190,12,10,15,Very High,Met Expectations,Promoter,Passive,Passive
AB0469,Male,31,Graduation,Marketing / Finance,Married,5,9,2,ClientSolutions,Conference,109,5347,7,3,14,High,Met Expectations,Passive,Passive,Detractor
AB0470,Female,25,Graduation,Marketing / Finance,Married,1,13,9,ClientSolutions,Conference,75,6441,12,9,14,High,Met Expectations,Promoter,Promoter,Passive
AB0471,Female,39,Graduation,Marketing / Finance,Divorced,4,31,25,ClientSolutions,LongTermProject,14,18820,29,22,14,High,Met Expectations,Promoter,Promoter,Promoter
AB0472,Female,32,Graduation,Economics,Single,5,12,6,ClientSolutions,Conference,132,9198,3,0,19,High,Met Expectations,Passive,Passive,Promoter
AB0473,Male,36,Graduation,Economics,Single,1,8,19,ClientSolutions,Conference,178,3777,7,3,16,High,Met Expectations,Promoter,Passive,Passive
AB0474,Female,46,Graduation,Economics,Married,12,47,4,BusinessDevelopment,ClientEngagement,110,14487,9,9,14,Very High,Met Expectations,Passive,Detractor,Promoter
AB0475,Male,35,Masters / PHD,Marketing / Finance,Divorced,1,12,9,BusinessDevelopment,No,21,9699,12,7,16,High,Inconsistent,Detractor,Passive,Promoter
AB0476,Female,24,Graduation,Marketing / Finance,Divorced,8,7,1,BusinessDevelopment,Conference,41,3099,4,3,20,Medium,Met Expectations,Passive,Passive,Passive
AB0477,Male,40,Masters / PHD,Economics,Married,1,12,19,BusinessDevelopment,ClientEngagement,123,9956,12,10,22,High,Exceed Expectations,Detractor,Detractor,Detractor
AB0478,Male,23,Graduation,Bio-technology,Divorced,7,8,16,ClientSolutions,Conference,170,2626,5,1,15,Medium,Met Expectations,Passive,Promoter,Detractor
AB0479,Male,39,Masters / PHD,Economics,Divorced,1,7,9,ClientSolutions,Conference,82,2540,7,4,20,High,Exceed Expectations,Passive,Detractor,Passive
AB0480,Female,34,Masters / PHD,Economics,Single,8,20,1,BusinessDevelopment,Conference,133,7491,1,0,16,High,Met Expectations,Passive,Passive,Detractor
AB0481,Male,29,Graduation,Economics,Divorced,9,23,5,ClientSolutions,LongTermProject,82,5649,5,3,16,High,Met Expectations,Promoter,Passive,Passive
AB0482,Female,15,Under Graduation,Economics,Married,1,5,2,ClientSolutions,Conference,67,4599,4,3,20,High,Met Expectations,Passive,Passive,Detractor
AB0483,Female,37,Graduation,Economics,Single,1,1,2,ClientSolutions,Conference,31,2524,1,0,16,Medium,Met Expectations,Passive,Passive,Promoter
AB0484,Male,41,Under Graduation,Economics,Divorced,12,4,2,ClientSolutions,LongTermProject,85,2640,1,0,16,Medium,Met Expectations,Promoter,Promoter,Promoter
AB0485,Male,28,Masters / PHD,Bio-technology,Single,8,14,1,ClientSolutions,Conference,34,2620,12,9,16,Medium,Met Expectations,Detractor,Detractor,Promoter
AB0486,Male,29,Masters / PHD,Economics,Married,5,16,6,BusinessDevelopment,Conference,37,6787,9,9,19,Low,Met Expectations,Passive,Passive,Passive
AB0487,Male,34,Graduation,Marketing / Finance,Married,5,5,2,ClientSolutions,Conference,147,5332,1,0,16,Medium,Met Expectations,Passive,Passive,Passive
AB0488,Female,26,Graduation,Marketing / Finance,Married,1,10,1,ClientSolutions,Conference,129,2629,10,0,16,High,Met Expectations,Passive,Passive,Passive
AB0489,Male,31,Masters / PHD,Marketing / Finance,Divorced,1,8,2,BusinessDevelopment,Conference,59,6058,8,3,16,High,Met Expectations,Promoter,Promoter,Passive
AB0490,Female,33,Masters / PHD,Economics,Single,1,12,28,Support,Conference,172,9702,12,0,18,High,Met Expectations,Passive,Promoter,Detractor
AB0491,Male,22,Graduation,Economics,Single,1,12,7,BusinessDevelopment,ClientEngagement,121,9581,12,10,17,High,Met Expectations,Promoter,Passive,Promoter
AB0492,Male,29,Masters / PHD,Economics,Single,1,4,8,ClientSolutions,Conference,61,2943,3,3,18,Medium,Met Expectations,Promoter,Passive,Promoter
AB0493,Female,41,Under Graduation,Economics,Single,9,26,1,BusinessDevelopment,ClientEngagement,133,6023,5,4,14,Medium,Met Expectations,Detractor,Passive,Promoter
AB0494,Male,27,Masters / PHD,Marketing / Finance,Married,1,8,20,ClientSolutions,Conference,177,3532,8,7,15,Medium,Met Expectations,Promoter,Detractor,Passive
AB0495,Female,48,Graduation,Marketing / Finance,Married,5,16,2,ClientSolutions,Conference,161,2957,1,0,20,Very High,Exceed Expectations,Passive,Detractor,Detractor
AB0496,Female,34,Masters / PHD,Economics,Married,9,14,18,ClientSolutions,No,166,6243,12,10,17,High,Met Expectations,Passive,Passive,Passive
AB0497,Male,29,Masters / PHD,Bio-technology,Married,3,13,16,BusinessDevelopment,Conference,162,8963,1,0,16,High,Met Expectations,Detractor,Detractor,Detractor
AB0498,Male,31,Graduation,Marketing / Finance,Married,1,27,7,ClientSolutions,LongTermProject,80,21115,27,12,17,Medium,Met Expectations,Passive,Promoter,Detractor
AB0499,Female,34,Graduation,Marketing / Finance,Single,9,13,15,BusinessDevelopment,Conference,55,6866,7,5,18,Medium,Met Expectations,Promoter,Passive,Detractor
AB0500,Male,26,Graduation,Economics,Single,1,5,1,ClientSolutions,Conference,62,4117,4,3,16,Medium,Met Expectations,Passive,Passive,Promoter
AB0501,Male,18,Under Graduation,Bio-technology,Single,1,9,3,ClientSolutions,LongTermProject,63,3430,8,5,22,High,Exceed Expectations,Passive,Detractor,Passive
AB0502,Female,29,Under Graduation,Economics,Divorced,1,27,8,ClientSolutions,No,27,21881,27,21,22,Low,Exceed Expectations,Passive,Passive,Passive
AB0503,Male,19,Graduation,Economics,Divorced,1,4,7,BusinessDevelopment,Conference,52,2525,4,3,21,High,Exceed Expectations,Passive,Promoter,Passive
AB0504,Female,49,Graduation,Economics,Married,7,43,5,ClientSolutions,Conference,51,21436,38,10,14,High,Met Expectations,Detractor,Detractor,Promoter
AB0505,Female,36,Graduation,Bio-technology,Single,1,27,30,ClientSolutions,Conference,119,18306,27,8,14,Medium,Met Expectations,Promoter,Passive,Passive
AB0506,Female,22,Under Graduation,Marketing / Finance,Married,10,9,9,ClientSolutions,Conference,15,4334,5,3,22,High,Exceed Expectations,Passive,Promoter,Passive
AB0507,Male,15,Graduation,Economics,Single,1,0,3,ClientSolutions,Conference,28,1590,0,0,16,High,Met Expectations,Passive,Passive,Passive
AB0508,Male,27,Graduation,Economics,Single,1,13,3,ClientSolutions,LongTermProject,130,3699,13,10,14,High,Met Expectations,Detractor,Detractor,Detractor
AB0509,Male,19,Under Graduation,Bio-technology,Married,1,8,1,BusinessDevelopment,No,23,6981,7,5,16,High,Met Expectations,Passive,Passive,Promoter
AB0510,Male,37,Graduation,Economics,Divorced,3,33,7,ClientSolutions,Conference,162,10672,1,0,18,High,Inconsistent,Passive,Detractor,Passive
AB0511,Male,27,Graduation,Marketing / Finance,Married,1,7,1,ClientSolutions,Conference,137,4767,7,3,17,Medium,Met Expectations,Detractor,Passive,Passive
AB0512,Female,50,Masters / PHD,Bio-technology,Single,7,12,1,BusinessDevelopment,Conference,214,6002,5,4,21,High,Exceed Expectations,Passive,Detractor,Passive
AB0513,Male,30,Masters / PHD,Economics,Divorced,3,10,12,BusinessDevelopment,Conference,18,4853,7,3,14,High,Met Expectations,Detractor,Promoter,Passive
AB0514,Female,27,Graduation,Economics,Married,1,5,5,BusinessDevelopment,ClientEngagement,118,4742,4,3,18,Very High,Met Expectations,Promoter,Passive,Passive
AB0515,Male,26,Graduation,Economics,Single,8,13,1,BusinessDevelopment,Conference,114,7403,0,0,17,Low,Met Expectations,Detractor,Passive,Passive
AB0516,Male,42,Graduation,Economics,Married,1,1,1,ClientSolutions,Conference,101,3015,1,0,14,High,Met Expectations,Passive,Detractor,Passive
AB0517,Female,41,Graduation,Economics,Married,1,25,1,BusinessDevelopment,No,18,6979,23,9,15,High,Met Expectations,Promoter,Passive,Detractor
AB0518,Male,30,Graduation,Bio-technology,Single,9,13,2,BusinessDevelopment,Conference,15,8077,1,0,18,High,Met Expectations,Promoter,Passive,Passive
